id,title,image,price,inStock,category,isNew
1010242280,Nike Air Force 1 Low,https://static.nike.com/a/images/t_default/bde46d4f-fad2-4409-ab67-8d7a73e80cf7/air-force-1-low-mens-shoes-rjk6kq.png,140.0,True,Men's Shoes,False
1007491392,Nike Air Force 1 LV8 3,https://static.nike.com/a/images/t_default/57b13e63-40af-4c6c-8a12-522b65775b9f/air-force-1-lv8-3-big-kids-shoes-LDL8MM.png,59.97,True,Big Kids' Shoes,False
1003839172,Nike Air Force 1 Premium,https://static.nike.com/a/images/t_default/e998232a-c620-4b84-b294-fa40cc23ecac/air-force-1-premium-womens-shoes-DxRG97.png,130.0,True,Women's Shoes,False
13935884,Nike Air Force 1 React,https://static.nike.com/a/images/t_default/1c67261f-7263-4fdc-8bef-39c928807fe2/air-force-1-react-mens-shoes-WSjfs8.png,119.97,True,Men's Shoes,False
14253934,Nike Air Force 1 '07 FlyEase,https://static.nike.com/a/images/t_default/f153b4e4-9069-44ae-bf86-f70ae8ecbaa1/air-force-1-07-flyease-womens-shoes-q2Nz01.png,110.0,True,Women's Shoes,False
1010243496,Nike Force 1 Low ASW,https://static.nike.com/a/images/t_default/742e2f04-b7d0-499e-b4f6-e1e9ad36dd23/force-1-low-asw-little-kids-shoes-gRcv7N.png,63.97,True,Little Kids' Shoes,False
12898968,Nike Air Force 1 '07 LV8 1,https://static.nike.com/a/images/t_default/fdeb34c8-a6bf-4530-9145-b6cfea5dd963/air-force-1-07-lv8-1-mens-shoes-x0bMdL.png,130.0,True,Men's Shoes,False
13071867,Nike Air Force 1 High '07,https://static.nike.com/a/images/t_default/6a91c26b-7471-459d-91c5-30665fdc144c/air-force-1-high-07-mens-shoes-CGjvNW.png,125.0,True,Men's Shoes,False
1007486158,Nike Air Force 1,https://static.nike.com/a/images/t_default/599babb4-1dfe-4b90-be4d-e4f27b44e88c/air-force-1-big-kids-shoes-k4BQ8C.png,90.0,True,Big Kids' Shoes,False
1008590685,Nike Air Force 1 '07 Mid,https://static.nike.com/a/images/t_default/92511553-5c5c-4da6-96da-96a51dc701ed/air-force-1-07-mid-womens-shoes-2NP34w.png,92.97,True,Women's Shoes,False
13153255,Nike Air Force 1 '07,https://static.nike.com/a/images/t_default/3c9839ad-9907-477e-8d9e-4347d155c726/air-force-1-07-mens-shoes-PN6jnS.png,110.0,True,Men's Shoes,False
13130559,Nike Force 1 LE,https://static.nike.com/a/images/t_default/8d2c081b-ac13-44d4-9ca3-1a70ee605634/force-1-le-little-kids-shoes-d0vJBr.png,70.0,True,Little Kids' Shoes,False
14262477,Nike Air Force 1 '07 LX,https://static.nike.com/a/images/t_default/d92ecc39-44b3-44c4-8666-0e4cf276eaa6/air-force-1-07-lx-mens-shoes-D2ZCMj.png,70.97,True,Men's Shoes,False
1011815359,Nike Air Force 1 '07 LV8,https://static.nike.com/a/images/t_default/b0dd55f2-4ff1-4388-a4f3-4e884a0721f8/air-force-1-07-lv8-mens-shoes-9WB5bx.png,130.0,True,Men's Shoes,False
