id,title,category,price,color,inStock,img_one,img_two,img_three,img_four
13071857,Nike Air Force 1 '07,Men's Shoes,110,White,True,https://static.nike.com/a/images/t_default/e6da41fa-1be4-4ce5-b89c-22be4f1f02d4/air-force-1-07-mens-shoes-jBrhbr.png,https://static.nike.com/a/images/t_default/15bcd4d6-2636-4e9d-8b90-47d556a2cc0a/air-force-1-07-mens-shoes-jBrhbr.png,https://static.nike.com/a/images/t_default/d0ad440c-2d9b-4a58-93a4-9e2ea050fea3/air-force-1-07-mens-shoes-jBrhbr.png,https://static.nike.com/a/images/t_default/1ca41965-1f17-4133-9844-f6347262a727/air-force-1-07-mens-shoes-jBrhbr.png
13124718,Nike Air Force 1 '07,Women's Shoes,110,White,True,https://static.nike.com/a/images/t_default/e777c881-5b62-4250-92a6-362967f54cca/air-force-1-07-womens-shoes-b19lqD.png,https://static.nike.com/a/images/t_default/89a50ccb-c6d0-4e3b-b75c-b2c09ba4e22f/air-force-1-07-womens-shoes-b19lqD.png,https://static.nike.com/a/images/t_default/aad5d872-0dae-4456-890e-b377b8a33fb5/air-force-1-07-womens-shoes-b19lqD.png,https://static.nike.com/a/images/t_default/859db83a-2807-430a-9e34-9c76916e2b46/air-force-1-07-womens-shoes-b19lqD.png
13130491,Nike Air Force 1 LE,Big Kids' Shoes,90,White,True,https://static.nike.com/a/images/t_default/d9f1d9ee-a848-4a36-aab9-48b241078ebb/air-force-1-le-big-kids-shoes-3JNSvS.png,https://static.nike.com/a/images/t_default/cfa7d9c2-eaa0-4cf8-b15d-9c9d3f00474f/air-force-1-le-big-kids-shoes-3JNSvS.png,https://static.nike.com/a/images/t_default/ce230089-6f06-4e81-b3e7-0643f4b784a8/air-force-1-le-big-kids-shoes-3JNSvS.png,https://static.nike.com/a/images/t_default/015fe1e3-4593-4dc6-aa2c-bb0f543a4593/air-force-1-le-big-kids-shoes-3JNSvS.png
13932887,Nike Air Force 1 Low Retro,Men's Shoes,150,White,True,https://static.nike.com/a/images/t_default/016c2823-4d0b-4cbd-a4c0-71eb6aa2b7c5/air-force-1-low-retro-mens-shoes-1VHstQ.png,https://static.nike.com/a/images/t_default/c48af96e-40bb-4ed4-9eb3-c02f830e23a9/air-force-1-low-retro-mens-shoes-1VHstQ.png,https://static.nike.com/a/images/t_default/26835d70-88f3-47d9-9bbb-a4167c11c713/air-force-1-low-retro-mens-shoes-1VHstQ.png,https://static.nike.com/a/images/t_default/0dd9924e-f2ee-481c-a79f-bb09b9dd7eb0/air-force-1-low-retro-mens-shoes-1VHstQ.png
14234741,Nike Air Force 1 '07 Next Nature,Women's Shoes,115,White,True,https://static.nike.com/a/images/t_default/1aeb9850-aa34-4fa9-8ba0-9f875a1c36ca/air-force-1-07-next-nature-womens-shoes-fvxZ0g.png,https://static.nike.com/a/images/t_default/ef324494-39bc-4c23-aee5-a37b8efe717a/air-force-1-07-next-nature-womens-shoes-fvxZ0g.png,https://static.nike.com/a/images/t_default/fca82585-1c30-4065-959d-6073f273a573/air-force-1-07-next-nature-womens-shoes-fvxZ0g.png,https://static.nike.com/a/images/t_default/57325159-b578-49df-b909-4669385d582c/air-force-1-07-next-nature-womens-shoes-fvxZ0g.png
1010052608,Nike Air Force 1 Shadow,Women's Shoes,130,White,True,https://static.nike.com/a/images/t_default/7796e97b-30b4-4208-96fa-b4eb9747776a/air-force-1-shadow-womens-shoes-kTgn9J.png,https://static.nike.com/a/images/t_default/ff530695-488f-4668-81fe-35edb959cfd0/air-force-1-shadow-womens-shoes-kTgn9J.png,https://static.nike.com/a/images/t_default/c992c2c5-4aa9-4295-9fdb-944d27295880/air-force-1-shadow-womens-shoes-kTgn9J.png,https://static.nike.com/a/images/t_default/d0733aee-7fb8-49c4-8f10-9a202e39964a/air-force-1-shadow-womens-shoes-kTgn9J.png
1010068593,Nike Air Force 1 '07,Men's Shoes,110,White,True,https://static.nike.com/a/images/t_default/901bbbbc-5aed-4078-9a39-d129f1ee124b/air-force-1-07-mens-shoes-rXkGJX.png,https://static.nike.com/a/images/t_default/df20c969-2e39-4c1b-8696-01d424289d5b/air-force-1-07-mens-shoes-rXkGJX.png,https://static.nike.com/a/images/t_default/bac818ce-440e-43e7-88c7-30f89dd77daa/air-force-1-07-mens-shoes-rXkGJX.png,https://static.nike.com/a/images/t_default/943f8d11-fa84-4ab3-89b0-9fb32922c644/air-force-1-07-mens-shoes-rXkGJX.png
14244101,Nike Air Force 1 '07,Men's Shoes,110,White,True,https://static.nike.com/a/images/t_default/5ad0e77c-5992-418a-b8f8-7c2cc8dc2a2c/air-force-1-07-mens-shoes-vRgTMx.png,https://static.nike.com/a/images/t_default/3ebc0ecb-50f6-49ba-8ffa-d21ba662ea0e/air-force-1-07-mens-shoes-vRgTMx.png,https://static.nike.com/a/images/t_default/ec5f52a6-1b66-4c30-89c4-dc49875c48de/air-force-1-07-mens-shoes-vRgTMx.png,https://static.nike.com/a/images/t_default/10be804a-9ecf-4819-9e7b-368d6681d481/air-force-1-07-mens-shoes-vRgTMx.png
1008597348,Nike Air Force 1 '07,Women's Shoes,110,Pink,True,https://static.nike.com/a/images/t_default/0d9d86e4-11b5-43ae-8462-c7bd05096ec8/air-force-1-07-womens-shoes-PqdxJw.png,https://static.nike.com/a/images/t_default/a11dec04-7311-4cb4-ad78-12fab7af67bd/air-force-1-07-womens-shoes-PqdxJw.png,https://static.nike.com/a/images/t_default/49f3d199-5c4a-42bc-8d4f-57ba0836619e/air-force-1-07-womens-shoes-PqdxJw.png,https://static.nike.com/a/images/t_default/0d91b631-2815-42a8-a06f-90fec2d36336/air-force-1-07-womens-shoes-PqdxJw.png
13027510,Nike Air Force 1,Big Kids' Shoes,90,White,True,https://static.nike.com/a/images/t_default/1aa3abc4-692e-466b-b985-570a178f25ef/air-force-1-big-kids-shoes-M7mcL9.png,https://static.nike.com/a/images/t_default/2765a4d1-0749-4504-9f6e-aedfa3de82cf/air-force-1-big-kids-shoes-M7mcL9.png,https://static.nike.com/a/images/t_default/06eb06bd-2f00-489b-9379-a378ac6f1d93/air-force-1-big-kids-shoes-M7mcL9.png,https://static.nike.com/a/images/t_default/6cd3dbe1-c011-470b-8ec5-d2828751e03f/air-force-1-big-kids-shoes-M7mcL9.png
